,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
8,CAREX HOODII,30,1,2.466666667,bnch.us,bnch,,
23,LUPINUS LATIFOLIUS,30,2,4.633333333,bnch.us,bnch,,
9,CAREX PENSYLVANICA,29,1,2.931034483,bnch.us,,,
17,FESTUCA IDAHOENSIS,29,1,4.75862069,bnch.us,bnch,,
3,BROMUS CARINATUS,19,1,4.473684211,bnch.us,bnch,,
28,PHLOX DIFFUSA,17,1,3.117647059,bnch.us,bnch,,
15,ERIGERON ALICEAE,9,4,7.888888889,bnch.us,bnch,,
26,PENSTEMON PROCERUS,9,1,5,bnch.us,bnch,,
13,ELYMUS REPENS,8,5,7.375,bnch.us,bnch,,
4,BROMUS VULGARIS,7,2,5.142857143,bnch.us,bnch,,
16,EUCEPHALUS LEDOPHYLLUS,7,3,6,bnch.us,,,ERIGERON ALICEAE??
32,SYMPHYOTRICHUM SPATHULATUM,6,5,6.833333333,bnch.us,bnch,,
29,POA PRATENSIS,5,3,5.4,bnch.us,bnch,,
12,ELYMUS GLAUCUS,4,3,7,bnch.us,bnch,,
19,FRAGARIA VESCA,4,5,8,bnch.us,bnch,,
31,STIPA OCCIDENTALIS,4,3,7,bnch.us,bnch,,
1,ACHILLEA MILLEFOLIUM,3,8,9.333333333,bnch.us,bnch,,
6,CALYCADENIA PAUCIFLORA,3,1,1.666666667,bnch.us,,,(NOP) early
27,PHLOX ADSURGENS,3,4,7,bnch.us,,,(NOP) early
2,AGROSTIS SCABRA,2,7,8,bnch.us,bnch,,
21,HIERACIUM SCOULERI,2,7,7.5,bnch.us,bnch,,
24,MICROSTERIS GRACILIS,2,5,6.5,bnch.us,,,
5,CALOCHORTUS SUBALPINUS,1,9,9,bnch.us,,,gone for a year
7,CARDUUS OCCIDENTALIS,1,11,11,bnch.us,bnch,,
10,COMANDRA UMBELLATA,1,7,7,bnch.us,bnch,,
11,DANTHONIA INTERMEDIA,1,5,5,bnch.us,bnch,,
14,EPILOBIUM ANGUSTIFOLIUM,1,8,8,bnch.us,,,(NOP) FW
18,FESTUCA VIRIDULA,1,4,4,bnch.us,,,
20,HIERACIUM FROELICHIANUM,1,8,8,bnch.us,bnch,,
22,LATHYRUS NEVADENSIS,1,3,3,bnch.us,bnch,,
25,MOEHRINGIA LATERIFLORA,1,12,12,bnch.us,,,
30,POLYGONUM DOUGLASII,1,12,12,bnch.us,bnch,,
33,VICIA AMERICANA,1,5,5,bnch.us,bnch,,
34,VIOLA NUTTALLII,1,8,8,bnch.us,bnch,,
