,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
8,BROMUS HORDEACEUS,28,1,2.75,elliot.us,elliot,BROMUS HORDEACEUS,
9,BROMUS MADRITENSIS,28,1,3.142857143,elliot.us,elliot,BROMUS MADRITENSIS,
27,VULPIA MYUROS,27,1,4.555555556,elliot.us,elliot,VULPIA MYUROS,
12,ERODIUM BOTRYS,26,1,3.615384615,elliot.us,elliot,ERODIUM BOTRYS,
15,HYPOCHAERIS RADICATA,18,4,7.388888889,elliot.us,elliot,HYPOCHAERIS RADICATA,
20,LOLIUM PERENNE,17,1,4.705882353,elliot.us,elliot,LOLIUM PERENNE,
19,LOLIUM MULTIFLORUM,16,1,5.1875,elliot.us,,LOLIUM PERENNE,
6,BRACHYPODIUM DISTACHYON,12,1,5.166666667,elliot.us,elliot,,
23,SILENE ANTIRRHINA,11,2,6.363636364,elliot.us,elliot,,
5,AVENA FATUA,10,1,5.4,elliot.us,elliot,,
22,NASSELLA PULCHRA,9,2,6.333333333,elliot.us,elliot,,
1,ACMISPON AMERICANUS,8,4,7.5,elliot.us,elliot,,
7,BROMUS DIANDRUS,7,1,6.142857143,elliot.us,elliot,,
25,SYRMATIUM GLABRUM,6,4,6.666666667,elliot.us,,,
16,JUNCUS DUBIUS,5,3,6.4,elliot.us,elliot,,
4,AVENA BARBATA,4,1,5.75,elliot.us,elliot,,
14,HEMIZONIA FASCICULATA,4,3,6.25,elliot.us,elliot,,
26,VICIA VILLOSA,4,1,4,elliot.us,elliot,,
10,CENTAUREA MELITENSIS,3,4,5.666666667,elliot.us,,,
18,LACTUCA SERRIOLA,3,3,3.666666667,elliot.us,elliot,,
2,ACMISPON GLABER,2,4,5,elliot.us,elliot,,
21,LUPINUS SPARSIFLORUS,2,7,7.5,elliot.us,elliot,,
3,APIASTRUM ANGUSTIFOLIUM,1,2,2,elliot.us,,,
11,DICHELOSTEMMA CAPITATUM,1,6,6,elliot.us,elliot,,
13,FILAGO CALIFORNICA,1,7,7,elliot.us,elliot,,
17,JUNCUS SP.,1,7,7,elliot.us,elliot,JUNCUS DUBIUS,
24,SISYRINCHIUM BELLUM,1,5,5,elliot.us,elliot,,
