,Taxon,n_plots,min_rank,mean_rank,site_id
15,BROMUS HORDEACEUS,30,1,3.966666667,hopl.us
9,AVENA BARBATA,29,1,6.172413793,hopl.us
14,BROMUS DIANDRUS,28,1,8.107142857,hopl.us
11,BRIZA MAXIMA,27,1,5.518518519,hopl.us
26,CYNOSURUS ECHINATUS,25,3,12.32,hopl.us
17,BROMUS STERILIS,24,2,7.625,hopl.us
30,ELYMUS GLAUCUS,23,3,10.56521739,hopl.us
38,HYPOCHAERIS GLABRA,22,4,12.22727273,hopl.us
36,GERANIUM DISSECTUM,21,7,14.52380952,hopl.us
13,BROMUS ARENARIUS,18,3,12.33333333,hopl.us
19,CENTAUREA MELITENSIS,18,2,15.16666667,hopl.us
48,LUPINUS BICOLOR,18,2,11.94444444,hopl.us
61,SISYRINCHIUM BELLUM,16,4,14.8125,hopl.us
72,TRIFOLIUM HIRTUM,16,3,11.875,hopl.us
18,CARDUUS PYCNOCEPHALUS,15,1,6.4,hopl.us
35,GALIUM PARISIENSE,15,9,16.46666667,hopl.us
32,ERODIUM CICUTARIUM,14,6,13.28571429,hopl.us
10,AVENA FATUA,13,2,10.69230769,hopl.us
34,GALIUM APARINE,13,6,17.23076923,hopl.us
28,DAUCUS PUSILLUS,12,6,14.83333333,hopl.us
31,ERODIUM BOTRYS,12,4,15.5,hopl.us
73,TRIFOLIUM MICROCEPHALUM,12,4,14.41666667,hopl.us
12,BRIZA MINOR,11,7,15.90909091,hopl.us
37,GERANIUM MOLLE,11,7,15.54545455,hopl.us
50,LUPINUS SP.,11,3,14.36363636,hopl.us
81,VULPIA MYUROS,11,3,8.545454545,hopl.us
39,HYPOCHAERIS RADICATA,10,1,6.5,hopl.us
66,TORILIS SP.,10,7,15.3,hopl.us
74,TRIFOLIUM MICRODON,9,8,15.11111111,hopl.us
22,CERASTIUM GLOMERATUM,8,3,16.875,hopl.us
45,LINANTHUS CILIATUS,8,3,12.625,hopl.us
46,LINANTHUS PARVIFLORUS,8,7,14.75,hopl.us
21,CENTAUREA SP.,7,9,17.14285714,hopl.us
65,TORILIS NODOSA,7,5,11.42857143,hopl.us
2,ACMISPON PARVIFLORUS,6,3,14.33333333,hopl.us
44,LINANTHUS BICOLOR,6,4,11.83333333,hopl.us
53,MADIA SP.,6,10,20.33333333,hopl.us
64,TORILIS ARVENSIS,6,8,15.5,hopl.us
5,AIRA CARYOPHYLLEA,5,6,13.4,hopl.us
23,CIRSIUM VULGARE,5,4,12.4,hopl.us
51,MADIA GRACILIS,5,7,14.8,hopl.us
68,TRIFOLIUM BIFIDUM,5,11,14.2,hopl.us
70,TRIFOLIUM DUBIUM,5,4,8,hopl.us
3,ACMISPON WRANGELIANUS,4,1,9.5,hopl.us
7,ANAGALLIS ARVENSIS,4,8,14.5,hopl.us
40,IRIS MACROSIPHON,4,2,6.5,hopl.us
42,LATHYRUS SPHAERICUS,4,7,13.75,hopl.us
43,LATHYRUS VESTITUS,4,14,17.5,hopl.us
49,LUPINUS NANUS,4,2,9.5,hopl.us
77,VICIA AMERICANA,4,2,11.25,hopl.us
78,VICIA SATIVA,4,12,15.75,hopl.us
6,AMSINCKIA MENZIESII,3,12,15,hopl.us
25,CLAYTONIA PERFOLIATA,3,1,7,hopl.us
33,FILAGO GALLICA,3,6,12,hopl.us
41,LATHYRUS PUSILLUS,3,4,14.33333333,hopl.us
52,MADIA SATIVA,3,3,10.33333333,hopl.us
55,NASSELLA PULCHRA,3,7,10.66666667,hopl.us
56,PETRORHAGIA DUBIA,3,16,19.66666667,hopl.us
71,TRIFOLIUM GRACILENTUM,3,22,22.66666667,hopl.us
1,ACHILLEA MILLEFOLIUM,2,6,11.5,hopl.us
8,ANAPHALIS SP.,2,22,23.5,hopl.us
16,BROMUS MADRITENSIS,2,7,14,hopl.us
47,LOMATIUM TRITERNATUM,2,15,16.5,hopl.us
58,PLAGIOBOTHRYS SP.,2,3,6.5,hopl.us
69,TRIFOLIUM CILIOLATUM,2,14,16,hopl.us
76,TRIFOLIUM WILLDENOVII,2,12,17,hopl.us
80,VICIA VILLOSA,2,4,11.5,hopl.us
4,AEGILOPS TRIUNCIALIS,1,19,19,hopl.us
20,CENTAUREA SOLSTITIALIS,1,22,22,hopl.us
24,CLARKIA PURPUREA,1,11,11,hopl.us
27,DACTYLIS GLOMERATA,1,14,14,hopl.us
29,DAUCUS SP.,1,24,24,hopl.us
54,MICROPUS CALIFORNICUS,1,7,7,hopl.us
57,PLAGIOBOTHRYS NOTHOFULVUS,1,25,25,hopl.us
59,POA SECUNDA,1,24,24,hopl.us
60,SILYBUM MARIANUM,1,12,12,hopl.us
62,TAENIATHERUM CAPUT-MEDUSAE,1,1,1,hopl.us
63,THYSANOCARPUS CURVIPES,1,20,20,hopl.us
67,TRIFOLIUM ALBOPURPUREUM,1,9,9,hopl.us
75,TRIFOLIUM SP.,1,8,8,hopl.us
79,VICIA SP.,1,14,14,hopl.us
