"","Taxon","n_plots","min_rank","mean_rank","site_id"
"6","BROMUS INERMIS",41,1,2,"kbs.us"
"19","PHLEUM PRATENSE",36,2,4.02777777777778,"kbs.us"
"22","POA PRATENSIS",36,1,3.69444444444444,"kbs.us"
"24","SOLIDAGO CANADENSIS",35,1,2.17142857142857,"kbs.us"
"12","ELYMUS REPENS",28,1,3.42857142857143,"kbs.us"
"7","CENTAUREA STOEBE",17,1,3.58823529411765,"kbs.us"
"25","SYMPHYOTRICHUM PILOSUM",15,2,5.4,"kbs.us"
"1","ACHILLEA MILLEFOLIUM",14,3,5.21428571428571,"kbs.us"
"9","DACTYLIS GLOMERATA",12,2,5.16666666666667,"kbs.us"
"8","CLINOPODIUM VULGARE",7,1,2.57142857142857,"kbs.us"
"15","HIERACIUM SP.",7,1,4.42857142857143,"kbs.us"
"14","EUTHAMIA GRAMINIFOLIA",5,4,6.2,"kbs.us"
"27","VERONICA SP.",5,1,3.4,"kbs.us"
"20","PLANTAGO LANCEOLATA",4,3,6,"kbs.us"
"4","ASCLEPIAS SYRIACA",2,4,5,"kbs.us"
"10","DAUCUS CAROTA",2,4,5.5,"kbs.us"
"21","POA COMPRESSA",2,8,8.5,"kbs.us"
"2","AMBROSIA ARTEMISIIFOLIA",1,4,4,"kbs.us"
"3","ARRHENATHERUM ELATIUS",1,3,3,"kbs.us"
"5","ASCLEPIAS TUBEROSA",1,8,8,"kbs.us"
"11","DIANTHUS ARMERIA",1,7,7,"kbs.us"
"13","ERIGERON ANNUUS",1,6,6,"kbs.us"
"16","LEPIDIUM CAMPESTRE",1,6,6,"kbs.us"
"17","MEDICAGO LUPULINA",1,6,6,"kbs.us"
"18","MELILOTUS OFFICINALIS SSP. ALBA",1,2,2,"kbs.us"
"23","SILENE LATIFOLIA",1,5,5,"kbs.us"
"26","TRIFOLIUM CAMPESTRE",1,7,7,"kbs.us"
