,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
1,AGERATINA ALTISSIMA,1,8,8,konz.us,konz,AGERATINA ALTISSIMA,
2,AMBROSIA ARTEMISIIFOLIA,14,1,6.857142857,konz.us,konz,AMBROSIA ARTEMISIIFOLIA,
3,AMBROSIA PSILOSTACHYA,17,4,6.882352941,konz.us,konz,AMBROSIA PSILOSTACHYA,
4,AMORPHA CANESCENS,8,4,8.625,konz.us,konz,AMORPHA CANESCENS,
5,ANDROPOGON GERARDII,30,1,2.266666667,konz.us,konz,ANDROPOGON GERARDII,
6,ANTENNARIA NEGLECTA,1,11,11,konz.us,konz,ANTENNARIA NEGLECTA,
7,APOCYNUM CANNABINUM,4,2,9.25,konz.us,konz,APOCYNUM CANNABINUM,
8,ARGEMONE POLYANTHEMOS,1,10,10,konz.us,sgs,ARGEMONE POLYANTHEMOS,
9,ARTEMISIA LUDOVICIANA,1,9,9,konz.us,sgs,ARTEMISIA LUDOVICIANA,
10,ASCLEPIAS SULLIVANTII,1,13,13,konz.us,konz,ASCLEPIAS SULLIVANTII,
11,ASCLEPIAS TUBEROSA,1,5,5,konz.us,konz,ASCLEPIAS TUBEROSA,
12,ASCLEPIAS VIRIDIFLORA,1,7,7,konz.us,konz,ASCLEPIAS VIRIDIFLORA,
13,ASCLEPIAS VIRIDIS,1,9,9,konz.us,konz,ASCLEPIAS VIRIDIS,
14,BAPTISIA BRACTEATA,1,10,10,konz.us,konz,BAPTISIA BRACTEATA,
15,BOUTELOUA CURTIPENDULA,19,3,6.421052632,konz.us,konz,BOUTELOUA CURTIPENDULA,
16,BRICKELLIA EUPATORIOIDES,8,6,9.875,konz.us,konz,BRICKELLIA EUPATORIOIDES,
17,CAREX BREVIOR,1,10,10,konz.us,konz,CAREX BREVIOR,
18,CAREX INOPS,6,8,9.833333333,konz.us,konz,CAREX INOPS,
19,CAREX MEADII,15,5,8,konz.us,konz,CAREX MEADII,
20,CHENOPODIUM ALBUM,2,1,1.5,konz.us,sgs,CHENOPODIUM ALBUM,
21,CHENOPODIUM BERLANDIERI,2,3,3.5,konz.us,,,
22,CONYZA CANADENSIS,1,8,8,konz.us,konz,CONYZA CANADENSIS,
23,DESMODIUM ILLINOENSE,1,16,16,konz.us,konz,DESMODIUM ILLINOENSE,
24,ERAGROSTIS SPECTABILIS,3,6,9.333333333,konz.us,konz,ERAGROSTIS SPECTABILIS,
25,ERECHTITES HIERACIIFOLIA,1,6,6,konz.us,konz,ERECHTITES HIERACIIFOLIA,
26,EUPHORBIA SERPENS,1,10,10,konz.us,konz,EUPHORBIA SERPENS,
27,LINUM SULCATUM,1,12,12,konz.us,konz,LINUM SULCATUM,
28,MIMOSA QUADRIVALVIS,3,9,10.66666667,konz.us,konz,MIMOSA QUADRIVALVIS,
29,MUHLENBERGIA CUSPIDATA,1,7,7,konz.us,konz,MUHLENBERGIA RACEMOSA,
30,MUHLENBERGIA RACEMOSA,2,11,12,konz.us,,,
31,PANICUM OLIGOSANTHES,14,2,6.928571429,konz.us,konz,PANICUM OLIGOSANTHES,
32,PANICUM VIRGATUM,4,2,4.5,konz.us,konz,PANICUM VIRGATUM,
33,PEDIOMELUM TENUIFLORUM,2,12,12.5,konz.us,konz,PEDIOMELUM TENUIFLORUM,
34,PHYSALIS PUMILA,2,2,7,konz.us,konz,PHYSALIS PUMILA,
35,PHYSALIS VIRGINIANA,1,9,9,konz.us,konz,PHYSALIS VIRGINIANA,
36,POA PRATENSIS,9,2,6.777777778,konz.us,konz,POA PRATENSIS,
37,RUELLIA HUMILIS,1,15,15,konz.us,konz,RUELLIA HUMILIS,
38,SALVIA AZUREA,6,7,9,konz.us,konz,SALVIA AZUREA,
39,SCHIZACHYRIUM SCOPARIUM,30,1,2.066666667,konz.us,konz,SCHIZACHYRIUM SCOPARIUM,
40,SOLANUM PTYCHANTHUM,1,6,6,konz.us,,SOLANUM PTYCHANTHUM,
41,SOLIDAGO ALTISSIMA,1,5,5,konz.us,konz,SOLIDAGO ALTISSIMA,
42,SOLIDAGO CANADENSIS,2,3,5,konz.us,kbs,SOLIDAGO CANADENSIS,
43,SOLIDAGO MISSOURIENSIS,4,3,9,konz.us,konz,SOLIDAGO MISSOURIENSIS,
44,SORGHASTRUM NUTANS,29,2,4.379310345,konz.us,konz,SORGHASTRUM NUTANS,
45,SPOROBOLUS COMPOSITUS,17,2,7.058823529,konz.us,konz,SPOROBOLUS CRYPTANDRUS,
46,SPOROBOLUS CRYPTANDRUS,1,1,1,konz.us,,,
47,SPOROBOLUS HETEROLEPIS,10,1,4,konz.us,konz,SPOROBOLUS HETEROLEPIS,
48,SYMPHYOTRICHUM ERICOIDES,21,3,6.904761905,konz.us,konz,SYMPHYOTRICHUM ERICOIDES,
49,SYMPHYOTRICHUM OBLONGIFOLIUM,15,2,5.466666667,konz.us,konz,SYMPHYOTRICHUM OBLONGIFOLIUM,
,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
