"","Taxon","n_plots","min_rank","mean_rank","site_id"
"6","BROMUS HORDEACEUS",30,1,3.93333333333333,"mcla.us"
"24","TAENIATHERUM CAPUT-MEDUSAE",30,1,2.6,"mcla.us"
"17","LOLIUM MULTIFLORUM",27,1,3.11111111111111,"mcla.us"
"3","AVENA FATUA",23,1,4.56521739130435,"mcla.us"
"31","VULPIA MYUROS",21,1,5.52380952380952,"mcla.us"
"8","CENTAUREA SOLSTITIALIS",16,1,5.625,"mcla.us"
"11","EUPHORBIA SPATHULATA",15,4,7.2,"mcla.us"
"16","LACTUCA SERRIOLA",14,4,7.07142857142857,"mcla.us"
"5","BROMUS DIANDRUS",9,1,4,"mcla.us"
"26","TRIFOLIUM FUCATUM",8,3,6.25,"mcla.us"
"7","CENTAUREA MELITENSIS",7,1,5.42857142857143,"mcla.us"
"9","CENTAUREA SP.",7,1,5,"mcla.us"
"12","GERANIUM DISSECTUM",7,1,4.28571428571429,"mcla.us"
"2","AVENA BARBATA",6,1,3.33333333333333,"mcla.us"
"29","VICIA VILLOSA",6,6,7.83333333333333,"mcla.us"
"19","LUPINUS NANUS",5,4,7,"mcla.us"
"27","TRIFOLIUM HIRTUM",5,4,6.8,"mcla.us"
"13","HEMIZONIA CONGESTA",4,6,8,"mcla.us"
"21","MEDICAGO POLYMORPHA",3,6,8.33333333333333,"mcla.us"
"14","HORDEUM MURINUM",2,7,8,"mcla.us"
"20","LUPINUS SP.",2,5,6.5,"mcla.us"
"28","VICIA SATIVA",2,1,2,"mcla.us"
"30","VULPIA MICROSTACHYS",2,4,6,"mcla.us"
"1","AGOSERIS HETEROPHYLLA",1,7,7,"mcla.us"
"4","BRODIAEA SP.",1,4,4,"mcla.us"
"10","ERODIUM BOTRYS",1,7,7,"mcla.us"
"15","HYPOCHAERIS GLABRA",1,9,9,"mcla.us"
"18","LUPINUS BICOLOR",1,12,12,"mcla.us"
"22","POA BULBOSA",1,10,10,"mcla.us"
"23","SENECIO VULGARIS",1,4,4,"mcla.us"
"25","TRIFOLIUM CILIOLATUM",1,7,7,"mcla.us"
