,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
7,CHONDROSUM ERIOPODUM,39,1,1.282051282,sevi.us,sevi,BOUTELOUA ERIOPODIUM,
29,SALSOLA KALI SSP. TRAGUS,37,1,2.351351351,sevi.us,sevi,SALSOLA KALI SSP. TRAGUS,
10,DESCURAINIA PINNATA,25,2,4.52,sevi.us,,DESCURAINIA PINNATA,
21,KALLSTROEMIA PARVIFLORA,23,2,4.304347826,sevi.us,sevi,KALLSTROEMIA PARVIFLORA,
38,XANTHISMA SPINULOSUM,20,2,6.3,sevi.us,sevi,XANTHISMA SPINULOSUM,
16,GUTIERREZIA SAROTHRAE,16,1,4.1875,sevi.us,sevi,GUTIERREZIA SAROTHRAE,
9,CRYPTANTHA CRASSISEPALA,14,4,7.357142857,sevi.us,sevi,CRYPTANTHA CRASSISEPALA,
26,OENOTHERA CAESPITOSA var. CAESPITOSA,13,2,5.307692308,sevi.us,,OENOTHERA CAESPITOSA var. CAESPITOSA,
35,SPOROBOLUS FLEXUOSUS,11,4,5.636363636,sevi.us,sevi,SPOROBOLUS FLEXUOSUS,
8,CHONDROSUM GRACILE,9,1,2.777777778,sevi.us,sevi,BOUTELOUA GRACILE,
28,PSILOSTROPHE TAGETINA,9,4,5.777777778,sevi.us,sevi,PSILOSTROPHE TAGETINA,
18,HOFFMANNSEGGIA DREPANOCARPA,7,2,6.142857143,sevi.us,,HOFFMANNSEGGIA DREPANOCARPA,
19,HOFFMANNSEGGIA GLAUCA,7,4,6.428571429,sevi.us,sevi,HOFFMANNSEGGIA GLAUCA,
23,MACHAERANTHERA GRACILIS,7,2,5.857142857,sevi.us,sevi,MACHAERANTHERA GRACILIS,
36,SPOROBOLUS SP.,7,5,8.857142857,sevi.us,,SPOROBOLUS CONTRACTUS/FLEXUOSUS?,
15,GAURA COCCINEA,6,3,5.833333333,sevi.us,sevi,GAURA COCCINEA,
27,POMARIA JAMESII,6,6,7.5,sevi.us,sevi,POMARIA JAMESII,
32,SPHAERALCEA POLYCHROMA,6,2,5.333333333,sevi.us,,SPHAERALCEA POLYCHROMA,
5,CHAMAESYCE SP.,5,2,5.4,sevi.us,,CHAMAESYCE SP.,
6,CHENOPODIUM INCANUM,5,2,5.2,sevi.us,sgs,CHENOPODIUM INCANUM,
17,HILARIA JAMESII,5,4,5.8,sevi.us,sevi,HILARIA JAMESII,
37,TIDESTROMIA LANUGINOSA,5,5,8.2,sevi.us,sevi,TIDESTROMIA LANUGINOSA,
34,SPOROBOLUS CRYPTANDRUS,4,6,7.75,sevi.us,sgs,SPOROBOLUS CRYPTANDRUS,
13,EUPHORBIA SERPYLLIFOLIA,3,6,7,sevi.us,sevi,EUPHORBIA SERPYLLIFOLIA,
20,HYMENOPAPPUS FILIFOLIUS,3,5,6,sevi.us,,HYMENOPAPPUS FILIFOLIUS,
2,AMARANTHUS,2,5,6,sevi.us,sevi,AMARANTHUS PALMERII,
4,CHAETOPAPPA ERICOIDES,2,3,6,sevi.us,sevi,CHAETOPAPPA ERICOIDES,
12,EUPHORBIA REVOLUTA,2,7,9,sevi.us,,EUPHORBIA REVOLUTA,
33,SPOROBOLUS CONTRACTUS,2,6,9,sevi.us,sevi,SPOROBOLUS CONTRACTUS,
1,ALLIONIA INCARNATA,1,10,10,sevi.us,sevi,ALLIONIA INCARNATA,
3,ARISTIDA PURPUREA,1,7,7,sevi.us,sevi,ARISTIDA PURPUREA,
11,EUPHORBIA ALBOMARGINATA,1,11,11,sevi.us,sevi,EUPHORBIA ALBOMARGINATA,
14,EUPHORBIA SERRULA,1,7,7,sevi.us,sevi,EUPHORBIA SERRULA,
22,LINUM PUBERULUM,1,8,8,sevi.us,,LINUM PUBERULUM,
24,MELAMPODIUM LEUCANTHUM,1,4,4,sevi.us,sevi,MELAMPODIUM LEUCANTHUM,
25,NAMA HISPIDA,1,9,9,sevi.us,,NAMA HISPIDA,
30,SOLANUM ELAEAGNIFOLIUM,1,5,5,sevi.us,sevi,SOLANUM ELAEAGNIFOLIUM,
31,SPHAERALCEA HASTULATA,1,3,3,sevi.us,sevi,SPHAERALCEA HASTULATA,
39,YUCCA GLAUCA,1,5,5,sevi.us,sevi,YUCCA GLAUCA,
40,ZINNIA GRANDIFLORA,1,5,5,sevi.us,sevi,ZINNIA GRANDIFLORA,
