,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
1,ARISTIDA PURPUREA,1,10,10,sgs.us,sgs,ARISTIDA PURPUREA,
2,BROMUS TECTORUM,15,1,3,sgs.us,sgs,BROMUS TECTORUM,
3,BUCHLOE DACTYLOIDES,4,2,3.75,sgs.us,sgs,BUCHLOE DACTYLOIDES,
4,CAREX DURIUSCULA,29,1,4.068965517,sgs.us,sgs,CAREX DURIUSCULA,
5,CHENOPODIUM INCANUM,6,3,6.333333333,sgs.us,sgs,CHENOPODIUM INCANUM,
6,CHENOPODIUM LEPTOPHYLLUM,26,2,5.192307692,sgs.us,sgs,CHENOPODIUM LEPTOPHYLLUM,
7,CHONDROSUM GRACILE,37,1,1.891891892,sgs.us,sgs,BOUTELOUA GRACILE,
8,CIRSIUM UNDULATUM,1,6,6,sgs.us,sgs,CIRSIUM UNDULATUM,
9,ELYMUS CANADENSIS,5,2,4.6,sgs.us,sgs,ELYMUS CANADENSIS,
10,ELYMUS ELYMOIDES,30,1,3.2,sgs.us,,ELYMUS CANADENSIS,
11,EUPHORBIA GLYPTOSPERMA,1,6,6,sgs.us,sgs,EUPHORBIA GLYPTOSPERMA,
12,IPOMOPSIS LAXIFLORA,2,6,7,sgs.us,sgs,IPOMOPSIS LAXIFLORA,
13,LEPIDIUM DENSIFLORUM,23,3,6.391304348,sgs.us,sgs,LEPIDIUM DENSIFLORUM,
14,MACHAERANTHERA TANACETIFOLIA,5,5,6.6,sgs.us,sgs,MACHAERANTHERA TANACETIFOLIA,
15,OENOTHERA ALBICAULIS,4,4,6.75,sgs.us,sgs,OENOTHERA ALBICAULIS,
16,OPUNTIA POLYACANTHA,2,8,8,sgs.us,sgs,OPUNTIA POLYACANTHA,
17,OXYTROPIS SERICEA,1,6,6,sgs.us,,OXYTROPIS SERICEA,
18,PICRADENIOPSIS OPPOSITIFOLIA,2,11,11,sgs.us,sgs,PICRADENIOPSIS OPPOSITIFOLIA,
19,PLANTAGO PATAGONICA,6,3,5.666666667,sgs.us,sgs,PLANTAGO PATAGONICA,
20,PSORALEA TENUIFLORA,1,8,8,sgs.us,sgs,PSORALEA TENUIFLORA,
21,SCHEDONNARDUS PANICULATUS,4,3,6.25,sgs.us,,SCHEDONNARDUS PANICULATUS,"Rare, may not find in the site"
22,SCUTELLARIA BRITTONII,1,4,4,sgs.us,sgs,SCUTELLARIA BRITTONII,
23,SISYMBRIUM ALTISSIMUM,13,1,4.538461538,sgs.us,sgs,SISYMBRIUM ALTISSIMUM,
24,SOLANUM ROSTRATUM,1,8,8,sgs.us,,SOLANUM ROSTRATUM,"Rare, may not find in the site"
25,SPHAERALCEA COCCINEA,4,2,5,sgs.us,sgs,SPHAERALCEA COCCINEA,
26,SPOROBOLUS CRYPTANDRUS,5,4,6.4,sgs.us,konz,SPOROBOLUS CRYPTANDRUS/ SPOROBOLUS COMPOSITUS,
27,THELESPERMA FILIFOLIUM,1,6,6,sgs.us,sgs,THELESPERMA FILIFOLIUM,
28,TRAGOPOGON DUBIUS,1,10,10,sgs.us,sgs,TRAGOPOGON DUBIUS,
29,VULPIA OCTOFLORA,23,1,3.565217391,sgs.us,sgs,VULPIA OCTOFLORA,
