"","Taxon","n_plots","min_rank","mean_rank","site_id"
"9","BROMUS DIANDRUS",43,1,4.13953488372093,"sier.us"
"10","BROMUS HORDEACEUS",40,1,3.425,"sier.us"
"58","TAENIATHERUM CAPUT-MEDUSAE",40,1,2.65,"sier.us"
"32","GERANIUM DISSECTUM",26,2,7.76923076923077,"sier.us"
"13","BROMUS STERILIS",19,1,3.63157894736842,"sier.us"
"64","TRIFOLIUM HIRTUM",19,4,6.78947368421053,"sier.us"
"43","LOLIUM MULTIFLORUM",18,2,3.72222222222222,"sier.us"
"16","CARDUUS PYCNOCEPHALUS",17,1,6.41176470588235,"sier.us"
"60","TORILIS ARVENSIS",17,3,6.52941176470588,"sier.us"
"59","TORILIS",15,3,7.4,"sier.us"
"6","AVENA BARBATA",14,1,2.21428571428571,"sier.us"
"23","CYNOSURUS ECHINATUS",12,1,7.91666666666667,"sier.us"
"27","ERODIUM BOTRYS",12,3,7,"sier.us"
"67","VICIA SATIVA",12,5,9.25,"sier.us"
"30","GALIUM APARINE",11,2,6.54545454545455,"sier.us"
"11","BROMUS MADRITENSIS",10,3,7,"sier.us"
"20","CONVOLVULUS ARVENSIS",10,1,5,"sier.us"
"48","MADIA SP.",8,1,5.25,"sier.us"
"31","GALIUM PARISIENSE",7,4,10,"sier.us"
"35","HORDEUM MURINUM",7,3,7.71428571428571,"sier.us"
"36","HYPOCHAERIS GLABRA",7,3,8.71428571428571,"sier.us"
"70","VULPIA MYUROS",7,4,8.14285714285714,"sier.us"
"62","TORILIS SP.",6,4,7,"sier.us"
"3","AMSINCKIA MENZIESII",5,7,10,"sier.us"
"21","CONVOLVULUS SP.",5,1,4.6,"sier.us"
"24","DAUCUS PUSILLUS",5,6,8.2,"sier.us"
"38","LACTUCA SERRIOLA",5,2,10.6,"sier.us"
"39","LAGOPHYLLA MINOR",5,8,12.6,"sier.us"
"55","SHERARDIA ARVENSIS",5,2,8.6,"sier.us"
"2","AIRA CARYOPHYLLEA",4,6,7.75,"sier.us"
"26","EPILOBIUM SP.",4,1,7.75,"sier.us"
"33","GERANIUM MOLLE",4,3,6.75,"sier.us"
"46","MADIA GRACILIS",4,6,10.5,"sier.us"
"47","MADIA SATIVA",4,4,8.25,"sier.us"
"61","TORILIS NODOSA",4,6,9,"sier.us"
"1","AGOSERIS HETEROPHYLLA",3,5,8.66666666666667,"sier.us"
"14","CARDAMINE OLIGOSPERMA",3,2,6,"sier.us"
"19","CLARKIA SP.",3,9,13.3333333333333,"sier.us"
"28","ERODIUM CICUTARIUM",3,3,7.66666666666667,"sier.us"
"57","STELLARIA SP.",3,3,6.66666666666667,"sier.us"
"63","TRIFOLIUM DUBIUM",3,10,13.3333333333333,"sier.us"
"5","ASTER SP.",2,12,14,"sier.us"
"7","AVENA FATUA",2,1,2.5,"sier.us"
"8","BRIZA MINOR",2,10,12.5,"sier.us"
"17","CENTAUREA MELITENSIS",2,8,9,"sier.us"
"18","CERASTIUM GLOMERATUM",2,7,7,"sier.us"
"40","LINANTHUS BICOLOR",2,4,7.5,"sier.us"
"45","LUPINUS BICOLOR",2,11,11.5,"sier.us"
"50","NAVARRETIA SP.",2,3,5,"sier.us"
"51","PETRORHAGIA DUBIA",2,11,11.5,"sier.us"
"53","PLAGIOBOTHRYS SP.",2,8,10,"sier.us"
"68","VICIA VILLOSA",2,4,7,"sier.us"
"4","ANAGALLIS ARVENSIS",1,15,15,"sier.us"
"12","BROMUS SECALINUS",1,3,3,"sier.us"
"15","CARDAMINE SP.",1,5,5,"sier.us"
"22","CROTON SETIGERUS",1,7,7,"sier.us"
"25","DICHELOSTEMMA CAPITATUM",1,6,6,"sier.us"
"29","FILAGO CALIFORNICA",1,4,4,"sier.us"
"34","HEMIZONIA CONGESTA",1,14,14,"sier.us"
"37","HYPOCHAERIS RADICATA",1,9,9,"sier.us"
"41","LINANTHUS PARVIFLORUS",1,9,9,"sier.us"
"42","LINANTHUS SP.",1,8,8,"sier.us"
"44","LUPINUS",1,13,13,"sier.us"
"49","MICROPUS CALIFORNICUS",1,7,7,"sier.us"
"52","PLAGIOBOTHRYS NOTHOFULVUS",1,11,11,"sier.us"
"54","SCANDIX SP.",1,8,8,"sier.us"
"56","STELLARIA MEDIA",1,6,6,"sier.us"
"65","TRIFOLIUM MICROCEPHALUM",1,18,18,"sier.us"
"66","TRITELEIA HYACINTHINA",1,6,6,"sier.us"
"69","VULPIA BROMOIDES",1,19,19,"sier.us"
