,Taxon,n_plots,min_rank,mean_rank,site_id,collected from,Regional taxon nutnet ,Remarks from the field
1,AMARANTHUS RETROFLEXUS,1,11,11,spin.us,sgs,AMARANTHUS RETROFLEXUS,
2,BROMUS INERMIS,9,2,4.777777778,spin.us,sgs,BROMUS INERMIS,
3,CAPSELLA BURSA-PASTORIS,1,13,13,spin.us,nmsu,CAPSELLA BURSA-PASTORIS,
4,CAREX SP.,6,4,7.666666667,spin.us,spin,CAREX SP.,Sedge
5,CERASTIUM GLOMERATUM,4,9,9.75,spin.us,spin,CERASTIUM GLOMERATUM,
6,CIRSIUM ARVENSE,1,5,5,spin.us,spin,CIRSIUM ARVENSE,
7,DACTYLIS GLOMERATA,28,1,3.25,spin.us,spin,DACTYLIS GLOMERATA,
8,DESCURAINIA PINNATA,7,2,7.142857143,spin.us,,DESCURAINIA PINNATA,
9,ELYMUS REPENS,12,1,3.333333333,spin.us,spin,ELYMUS REPENS,
10,ERIGERON ANNUUS,18,3,6.777777778,spin.us,spin,ERIGERON ANNUUS,
11,FESTUCA ARUNDINACEA,28,2,6.071428571,spin.us,spin,FESTUCA ARUNDINACEA,
12,GALIUM APARINE,24,1,4,spin.us,spin,GALIUM APARINE,
13,GERANIUM CAROLINIANUM,10,6,7.8,spin.us,spin,GERANIUM CAROLINIANUM,
14,LUPINUS PERENNIS,2,7,8,spin.us,,LUPINUS PERENNIS,
15,LYCHNIS LATIFOLIA SSP. ALBA,4,5,7.25,spin.us,spin,SILENE LATIFOLIA,
16,PHLEUM PRATENSE,4,2,5.25,spin.us,spin,PHLEUM PRATENSE,
17,PLANTAGO LANCEOLATA,19,3,5.894736842,spin.us,spin,PLANTAGO LANCEOLATA,
18,PLANTAGO MAJOR,1,6,6,spin.us,spin,PLANTAGO MAJOR,
19,POA PRATENSIS,26,1,2.846153846,spin.us,spin,POA PRATENSIS,
20,RUMEX CRISPUS,1,11,11,spin.us,spin,RUMEX CRISPUS,
21,SILENE LATIFOLIA,12,2,5.75,spin.us,,SILENE LATIFOLIA,
22,SONCHUS SP.,1,10,10,spin.us,,,Rare plant in spin
23,SORGHUM HALEPENSE,6,4,7,spin.us,spin,SORGHUM HALEPENSE,
24,STELLARIA MEDIA,3,1,4.666666667,spin.us,spin,STELLARIA MEDIA,
25,TRAGOPOGON DUBIUS,1,11,11,spin.us,spin,TRAGOPOGON DUBIUS,
26,TRIFOLIUM PRATENSE,7,5,7.857142857,spin.us,spin,TRIFOLIUM PRATENSE,
27,VERONICA SP.,1,6,6,spin.us,spin,VERONICA SP.,
28,VICIA GRANDIFLORA,27,1,3.777777778,spin.us,spin,VICIA GRANDIFLORA,
29,VICIA SATIVA,1,2,2,spin.us,spin,VICIA SATIVA,
30,VIOLA SP.,5,1,4,spin.us,spin,VIOLA SP.,Voilet spp
31,VIOLA TRICOLOR,3,1,2.666666667,spin.us,spin,VIOLA TRICOLOR,
